"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000157247064652663,6,89,16.3932584269663,"PPAR signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu03320 "," Plin4  Apoa2  Plin2  Scp2  Plin1  Apoa1"
0.000157247064652663,10,365,6.662100456621,"Amyotrophic lateral sclerosis","http://www.genome.jp/kegg-bin/show_pathway?mmu05014 "," Tubb5  Hnrnpa2b1  Psmd11  Nefl  Tuba1b  Atp5a1  Psma7  Chchd10  Tubb2a  Tubb3"
0.000571645418146841,8,266,7.31328320802005,"Prion disease","http://www.genome.jp/kegg-bin/show_pathway?mmu05020 "," Tubb5  Psmd11  Gsk3b  Tuba1b  Atp5a1  Psma7  Tubb2a  Tubb3"
0.000814575470724248,9,380,5.75921052631579,"Alzheimer disease","http://www.genome.jp/kegg-bin/show_pathway?mmu05010 "," Tubb5  Psmd11  Gsk3b  Tuba1b  Atp5a1  Psma7  Gapdh  Tubb2a  Tubb3"
0.00254500406860519,7,262,6.49681933842239,"Parkinson disease","http://www.genome.jp/kegg-bin/show_pathway?mmu05012 "," Tubb5  Psmd11  Tuba1b  Atp5a1  Psma7  Tubb2a  Tubb3"
0.00272951058930231,9,469,4.66631130063966,"Pathways of neurodegeneration","http://www.genome.jp/kegg-bin/show_pathway?mmu05022 "," Tubb5  Psmd11  Nefl  Gsk3b  Tuba1b  Atp5a1  Psma7  Tubb2a  Tubb3"
0.00362818866532578,5,131,9.28117048346056,"Spliceosome","http://www.genome.jp/kegg-bin/show_pathway?mmu03040 "," Hnrnpk  U2af2  Hnrnpu  Pcbp1  Hnrnpm"
0.00365748209654177,7,300,5.67388888888889,"Huntington disease","http://www.genome.jp/kegg-bin/show_pathway?mmu05016 "," Tubb5  Psmd11  Tuba1b  Atp5a1  Psma7  Tubb2a  Tubb3"
0.00595162570439399,4,86,11.3100775193798,"Gap junction","http://www.genome.jp/kegg-bin/show_pathway?mmu04540 "," Tubb5  Tuba1b  Tubb2a  Tubb3"
0.0454234012471983,3,78,9.3525641025641,"Ribosome biogenesis in eukaryotes","http://www.genome.jp/kegg-bin/show_pathway?mmu03008 "," Sbds  1700009N14Rik  Ran"
0.0454234012471983,5,251,4.84395750332005,"Salmonella infection","http://www.genome.jp/kegg-bin/show_pathway?mmu05132 "," Tubb5  Tuba1b  Gapdh  Tubb2a  Tubb3"
0.047773377666482,5,264,4.60542929292929,"Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?mmu04144 "," Ehd4  Vps4a  Snx2  Arfgap3  Ehd2"
0.0491551516954025,4,169,5.75542406311637,"Phagosome","http://www.genome.jp/kegg-bin/show_pathway?mmu04145 "," Tubb5  Tuba1b  Tubb2a  Tubb3"
0.0969702738266891,3,115,6.34347826086956,"Nucleocytoplasmic transport","http://www.genome.jp/kegg-bin/show_pathway?mmu03013 "," 1700009N14Rik  Ran  Eef1a1"
0.0969702738266891,2,40,12.1583333333333,"Ferroptosis","http://www.genome.jp/kegg-bin/show_pathway?mmu04216 "," Pcbp1  Pcbp2"
0.107852440065918,2,44,11.0530303030303,"Aminoacyl-tRNA biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00970 "," Hars  Wars"
0.115075839093781,2,47,10.3475177304965,"Proteasome","http://www.genome.jp/kegg-bin/show_pathway?mmu03050 "," Psmd11  Psma7"
0.117609675592827,2,49,9.92517006802721,"Cholesterol metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu04979 "," Apoa2  Apoa1"
0.143231934254364,2,56,8.68452380952381,"Valine, leucine and isoleucine degradation","http://www.genome.jp/kegg-bin/show_pathway?mmu00280 "," Oxct1  Hadhb"
0.154750603286892,2,60,8.10555555555556,"Legionellosis","http://www.genome.jp/kegg-bin/show_pathway?mmu05134 "," Hspd1  Eef1a1"
0.156628824941538,2,62,7.84408602150538,"Fatty acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu01212 "," Scp2  Hadhb"
